year,state,type,value
2020,Pennsylvania,colony_lost,6100
2020,South Carolina,colony_added,7670
2020,South Carolina,colony_lost,6900
2020,South Dakota,colony_added,39520
2020,South Dakota,colony_lost,87800
2020,Tennessee,colony_added,5680
2020,Tennessee,colony_lost,5580
2020,Texas,colony_added,194000
2020,Texas,colony_lost,112500
2020,United States,colony_added,1693840
2020,United States,colony_lost,1548610
2020,Utah,colony_added,14500
2020,Utah,colony_lost,8900
2020,Vermont,colony_added,1430
2020,Vermont,colony_lost,740
2020,Virginia,colony_added,7380
2020,Virginia,colony_lost,4500
2020,Washington,colony_added,16580
2020,Washington,colony_lost,28100
2020,West Virginia,colony_added,2380
2020,West Virginia,colony_lost,2760
2020,Wisconsin,colony_added,17270
2020,Wisconsin,colony_lost,19200
2020,Wyoming,colony_added,3550
2020,Wyoming,colony_lost,6940
2021,Alabama,colony_added,3470
2021,Alabama,colony_lost,3900
2021,Arizona,colony_added,12000
2021,Arizona,colony_lost,11200
2021,Arkansas,colony_added,9790
2021,Arkansas,colony_lost,3800
2021,California,colony_added,276000
2021,California,colony_lost,257000
2021,Colorado,colony_added,5650
2021,Colorado,colony_lost,6140
2021,Connecticut,colony_added,1310
2021,Connecticut,colony_lost,840
2021,Florida,colony_added,94000
2021,Florida,colony_lost,64000
2021,Georgia,colony_added,59000
2021,Georgia,colony_lost,40000
2021,Hawaii,colony_added,2860
2021,Hawaii,colony_lost,1530
2021,Idaho,colony_added,49000
2021,Idaho,colony_lost,34500
2021,Illinois,colony_added,7000
2021,Illinois,colony_lost,4100
2021,Indiana,colony_added,7500
2021,Indiana,colony_lost,3260
2021,Iowa,colony_added,13600
2021,Iowa,colony_lost,4300
2021,Kansas,colony_added,7200
2021,Kansas,colony_lost,2270
2021,Kentucky,colony_added,4600
2021,Kentucky,colony_lost,2370
2021,Louisiana,colony_added,9100
2021,Louisiana,colony_lost,9800
2021,Maine,colony_added,490
2021,Maine,colony_lost,1400
2021,Maryland,colony_added,3190
2021,Maryland,colony_lost,1520
2021,Massachusetts,colony_added,1430
2021,Massachusetts,colony_lost,1810
2021,Michigan,colony_added,10320
2021,Michigan,colony_lost,5000
2021,Minnesota,colony_added,30900
2021,Minnesota,colony_lost,8700
2021,Mississippi,colony_added,23500
2021,Mississippi,colony_lost,10300
2021,Missouri,colony_added,2780
2021,Missouri,colony_lost,2170
2021,Montana,colony_added,13500
2021,Montana,colony_lost,3100
2021,Nebraska,colony_added,9800
2021,Nebraska,colony_lost,2440
2021,New Jersey,colony_added,2010
2021,New Jersey,colony_lost,770
2021,New Mexico,colony_added,2280
2021,New Mexico,colony_lost,770
2021,New York,colony_added,17900
2021,New York,colony_lost,7900
2021,North Carolina,colony_added,8700
2021,North Carolina,colony_lost,3800
2021,North Dakota,colony_added,7500
2021,North Dakota,colony_lost,4580
2021,Ohio,colony_added,6620
2021,Ohio,colony_lost,4820
2021,Oklahoma,colony_added,8300
2021,Oklahoma,colony_lost,6200
2021,Oregon,colony_added,27600
2021,Oregon,colony_lost,6400
2021,Other States,colony_added,3490
2021,Other States,colony_lost,680
2021,Pennsylvania,colony_added,11100
2021,Pennsylvania,colony_lost,7600
2021,South Carolina,colony_added,5030
2021,South Carolina,colony_lost,3000
2021,South Dakota,colony_added,39000
2021,South Dakota,colony_lost,6500
2021,Tennessee,colony_added,5760
